Date,Factor_Q1,Factor_Q2,Factor_Q3,Factor_Q4,Factor_Q5,Log_Return_Q1,Log_Return_Q2,Log_Return_Q3,Log_Return_Q4,Log_Return_Q5,FM_Return,Factor
2006-06-01,-0.03480068624754016,-0.003639344633655412,0.0019159089638488612,0.007719076296497753,0.02909784752589169,0.00021203414764891116,-0.006365746944277118,-0.00692418062976456,-0.0021706798359699187,-0.02808150424866146,0.02829353839631037,OperCashFlowToMarketCap_Change_66
2006-06-30,-0.009468613695591972,-0.002968717673451806,-0.0004529462322455334,0.003794634909482794,0.03404449353475683,-0.013950568468092093,-0.030714786944902404,-0.010623841417095516,0.022164849154928237,-0.03694269852927646,0.022992130061184366,OperCashFlowToMarketCap_Change_66
2006-08-01,-0.013251730470660295,-0.002652836945444447,0.0023133230801557552,0.008295243324379352,0.03266008402622688,0.02469071678928417,0.04284026593057628,0.02435338798661742,0.0442399373788677,0.09418670250928497,-0.0694959857200008,OperCashFlowToMarketCap_Change_66
2006-09-01,-0.0331093205111461,-0.006675143587697818,-0.0018742287150209222,0.0031574766418661533,0.01646721544871356,0.01057983861040165,0.05059324896601534,0.03568682783157451,0.04787488585627629,0.05060858827256179,-0.040028749662160135,OperCashFlowToMarketCap_Change_66
2006-09-29,-0.041031973975784626,-0.010024559237821,-0.005168506399653539,-0.00027589702251193523,0.014798831320845005,0.030894084837814376,0.04816834869337337,0.0003289646823998611,0.03233127684814719,0.040619533618836696,-0.00972544878102232,OperCashFlowToMarketCap_Change_66
2006-11-01,-0.039831204891158906,-0.009481083151855335,-0.005458574711305894,-0.002347974903946029,0.008779548292176951,0.024432429949624895,0.028719735568576623,0.03357560348611023,0.008450977481875429,0.004131818827788066,0.02030061112183683,OperCashFlowToMarketCap_Change_66
2006-12-01,-0.015869240754198873,-0.008489064153038047,-0.00498781592694375,-0.0013233612470759577,0.015040252985014487,-0.002291385573105555,0.007053614367323782,0.021076403523199123,0.027318743736983626,0.025734564732243875,-0.02802595030534943,OperCashFlowToMarketCap_Change_66
2006-12-29,-0.016320629371005545,-0.0067863376561188935,-0.0029144271385374665,0.0005159898948321473,0.020268254441475578,0.0075759586118582835,0.02257591485905243,0.027294434040194823,0.05804098803606157,0.009473067231373467,-0.0018971086195151837,OperCashFlowToMarketCap_Change_66
2007-02-01,-0.012087695255966334,-0.005335155836330335,-0.00283256134510295,0.0012786155881444117,0.021399210689320516,-0.025765484005474657,-0.025968951701234436,-0.024080946473897795,-0.026911589415034222,-0.04293708809666842,0.017171604091193764,OperCashFlowToMarketCap_Change_66
2007-03-01,-0.11987104829952837,-0.00219989573881477,0.003988964447873472,0.014803051039231836,0.06611613125639158,0.010787235694995167,0.007944227544636624,0.006116836716121444,0.0034838157504425474,0.01594068435043096,-0.005153448655435792,OperCashFlowToMarketCap_Change_66
2007-03-30,-0.12931532108939947,-0.001650247756836512,0.004905757801518388,0.016322279996734607,0.06617455519074639,0.0566193318419475,0.05697701428471729,0.03084572968097439,0.057149242539388606,0.0350732129591137,0.021546118882833802,OperCashFlowToMarketCap_Change_66
2007-05-01,-0.11646000882723476,-0.003808584862372345,0.0027904182359690414,0.011698432678353172,0.05325511807987526,0.03731313375279286,0.0488499883188512,0.051870566662045516,0.027965994952020106,0.04809444355409612,-0.010781309801303256,OperCashFlowToMarketCap_Change_66
2007-06-01,-0.08391389490896822,-0.009403934238588488,-0.003694884348820865,0.0030414701289023164,0.05382020536915888,-0.02200296831489395,-0.00033369046782966063,-0.0198090052838757,-0.025254077615607055,-0.019850389939278415,-0.002152578375615534,OperCashFlowToMarketCap_Change_66
2007-06-29,-0.021895956630750366,-0.007383660155954305,-0.003297614043535982,0.00033803708885328325,0.014131426788271333,0.012954545364766066,-0.01101921969788055,-0.01730187358081851,-0.010931835582886656,-0.04295058001738978,0.05590512538215585,OperCashFlowToMarketCap_Change_66
2007-08-01,-0.03161271861349709,-0.003936532561601911,0.00031963424414910594,0.0038578940355392995,0.013585516980739834,-0.010052937403172243,-0.0013191262578720318,0.01650744598742186,0.011450844684897984,0.03442902189591109,-0.044481959299083336,OperCashFlowToMarketCap_Change_66
2007-08-31,-0.03791157245237626,-0.0014900954477421937,0.0017820397479921413,0.005488393193214305,0.014627079741804399,0.056259731668595166,0.07011848288804534,0.040281492766815086,0.07216245643264578,0.053217938699194264,0.0030417929694009013,OperCashFlowToMarketCap_Change_66
2007-10-01,-0.029177904158041532,-0.0060842527489158,-0.0029200855661628763,0.0006078150746990626,0.00995672721885383,-0.027118844241857277,-0.008705392679637429,0.037601659761494564,-0.029520673627470993,-0.03268477821623289,0.0055659339743756135,OperCashFlowToMarketCap_Change_66
2007-11-01,-0.02286151229787575,-0.006608456383673266,-0.003042316558490847,0.0017529832777164278,0.017643617588024404,0.009493504517805056,0.014392192542431355,0.0065444783957104465,-0.0046952256389290285,-0.05714219693420448,0.06663570145200953,OperCashFlowToMarketCap_Change_66
2007-11-30,-0.028426995100599158,-0.008288926751436295,-0.0038087570716387113,0.0020462507119838277,0.022608450487074258,0.00642878118862079,0.0038170928961721285,0.003670443555896699,-0.013595878695835483,-0.04787168207138761,0.0543004632600084,OperCashFlowToMarketCap_Change_66
2007-12-31,-0.03347982820526527,-0.0034917700099780613,0.0013592873019712469,0.00776963915835615,0.051727761816158443,-0.0366347185048351,-0.079221775197561,-0.0714487593239451,-0.034754305163598655,0.006795976169285902,-0.043430694674121,OperCashFlowToMarketCap_Change_66
2008-02-01,-0.02321678170444289,0.0011010553369252836,0.004671296121543024,0.011219649344324128,0.07245391483574125,-0.055151046350175266,-0.046880897989037856,-0.030269020232434045,-0.036689309564142646,-0.07878607531358632,0.023635028963411055,OperCashFlowToMarketCap_Change_66
2008-02-29,-0.13316887792151857,0.004572331564607972,0.012239255361850823,0.024798746633520122,0.1668139403931219,0.0460003510309237,0.033138105748304864,0.04847217421093436,0.028801649218030953,0.050715059481318076,-0.004714708450394373,OperCashFlowToMarketCap_Change_66
